gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Maintained,Maintained,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
XML,Unmaintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.0833; semantic=0.5029; sequence_match=0.1333,False,0.3695,False,top-3 avg score 0.3695 < final_threshold 0.6
text editing,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5040; levenshtein=0.1500; semantic=0.4098; sequence_match=0.1935,False,0.3691,False,top-3 avg score 0.3691 < final_threshold 0.6
Development status,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4827; levenshtein=0.1176; semantic=0.4949; sequence_match=0.1290,False,0.3689,False,top-3 avg score 0.3689 < final_threshold 0.6
Open source software license,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4844; levenshtein=0.1200; semantic=0.4442; sequence_match=0.1765,False,0.3684,False,top-3 avg score 0.3684 < final_threshold 0.6
web service,Unmaintained,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4556; levenshtein=0.1667; semantic=0.4825; sequence_match=0.0909,False,0.3682,False,top-3 avg score 0.3682 < final_threshold 0.6
text editing,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4606; levenshtein=0.0000; semantic=0.5482; sequence_match=0.0952,False,0.368,False,top-3 avg score 0.3680 < final_threshold 0.6
software developer role,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4468; levenshtein=0.0952; semantic=0.3989; sequence_match=0.2581,False,0.3679,False,top-3 avg score 0.3679 < final_threshold 0.6
Source code available,XML Editing,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4860; levenshtein=0.1579; semantic=0.4598; sequence_match=0.1379,False,0.3679,False,top-3 avg score 0.3679 < final_threshold 0.6
Maintained,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4056; levenshtein=0.0833; semantic=0.4254; sequence_match=0.2727,False,0.3679,False,top-3 avg score 0.3679 < final_threshold 0.6
Open source software license,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4483; levenshtein=0.1600; semantic=0.4326; sequence_match=0.2222,False,0.3677,False,top-3 avg score 0.3677 < final_threshold 0.6
function,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.1667; semantic=0.4722; sequence_match=0.2000,False,0.3676,False,top-3 avg score 0.3676 < final_threshold 0.6
Source code available,Algorithm Usage Output,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4299; levenshtein=0.1000; semantic=0.5188; sequence_match=0.1538,False,0.3675,False,top-3 avg score 0.3675 < final_threshold 0.6
text editing,Algorithm Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3846; levenshtein=0.1429; semantic=0.4779; sequence_match=0.2400,False,0.3675,False,top-3 avg score 0.3675 < final_threshold 0.6
Development status,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3562; levenshtein=0.1765; semantic=0.4692; sequence_match=0.2759,False,0.3671,False,top-3 avg score 0.3671 < final_threshold 0.6
function,License Permissiveness,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3948; levenshtein=0.1429; semantic=0.4993; sequence_match=0.2069,False,0.367,False,top-3 avg score 0.3670 < final_threshold 0.6
Development status,XML Editing,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4843; levenshtein=0.1765; semantic=0.4401; sequence_match=0.1481,False,0.367,False,top-3 avg score 0.3670 < final_threshold 0.6
data format specification,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4758; levenshtein=0.1304; semantic=0.4535; sequence_match=0.1714,False,0.3669,False,top-3 avg score 0.3669 < final_threshold 0.6
text editing,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3658; levenshtein=0.1579; semantic=0.5346; sequence_match=0.2000,False,0.3668,False,top-3 avg score 0.3668 < final_threshold 0.6
Open source software license,Unmaintained,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4689; levenshtein=0.2000; semantic=0.4291; sequence_match=0.0541,False,0.366,False,top-3 avg score 0.3660 < final_threshold 0.6
function,Algorithm Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4187; levenshtein=0.0714; semantic=0.5870; sequence_match=0.0909,False,0.3655,False,top-3 avg score 0.3655 < final_threshold 0.6
application programming interface,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3545; levenshtein=0.1290; semantic=0.5952; sequence_match=0.1463,False,0.3654,False,top-3 avg score 0.3654 < final_threshold 0.6
software developer role,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4206; levenshtein=0.1429; semantic=0.4605; sequence_match=0.2143,False,0.3651,False,top-3 avg score 0.3651 < final_threshold 0.6
web service,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4083; levenshtein=0.0000; semantic=0.5758; sequence_match=0.1111,False,0.3651,False,top-3 avg score 0.3651 < final_threshold 0.6
CEL binary format,Open Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4722; levenshtein=0.1333; semantic=0.4620; sequence_match=0.1600,False,0.3647,False,top-3 avg score 0.3647 < final_threshold 0.6
file rendering,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4241; levenshtein=0.1538; semantic=0.4796; sequence_match=0.1905,False,0.3647,False,top-3 avg score 0.3647 < final_threshold 0.6
text editing,Data Usage For Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4557; levenshtein=0.1875; semantic=0.4161; sequence_match=0.2222,False,0.3647,False,top-3 avg score 0.3647 < final_threshold 0.6
data format specification,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4864; levenshtein=0.1739; semantic=0.3783; sequence_match=0.2286,False,0.3644,False,top-3 avg score 0.3644 < final_threshold 0.6
software interface,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3725; levenshtein=0.0588; semantic=0.6252; sequence_match=0.0952,False,0.3643,False,top-3 avg score 0.3643 < final_threshold 0.6
GIF,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4778; levenshtein=0.1000; semantic=0.4603; sequence_match=0.1538,False,0.364,False,top-3 avg score 0.3640 < final_threshold 0.6
licence,Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3286; levenshtein=0.0000; semantic=0.5272; sequence_match=0.2353,False,0.3637,False,top-3 avg score 0.3637 < final_threshold 0.6
Free,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4342; levenshtein=0.1053; semantic=0.4827; sequence_match=0.1739,False,0.3636,False,top-3 avg score 0.3636 < final_threshold 0.6
data item,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3999; levenshtein=0.1053; semantic=0.4686; sequence_match=0.2222,False,0.3636,False,top-3 avg score 0.3636 < final_threshold 0.6
software developer role,Data Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5175; levenshtein=0.1905; semantic=0.3822; sequence_match=0.1290,False,0.3634,False,top-3 avg score 0.3634 < final_threshold 0.6
software developer role,Task,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5198; levenshtein=0.0952; semantic=0.4737; sequence_match=0.0800,False,0.3629,False,top-3 avg score 0.3629 < final_threshold 0.6
PROcess,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3360; levenshtein=0.1111; semantic=0.6273; sequence_match=0.1250,False,0.3628,False,top-3 avg score 0.3628 < final_threshold 0.6
plain text file format,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4942; levenshtein=0.1053; semantic=0.4646; sequence_match=0.1290,False,0.3626,False,top-3 avg score 0.3626 < final_threshold 0.6
plain text file format,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4799; levenshtein=0.1579; semantic=0.4257; sequence_match=0.1818,False,0.3625,False,top-3 avg score 0.3625 < final_threshold 0.6
.csv,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4611; levenshtein=0.1000; semantic=0.4519; sequence_match=0.1739,False,0.3623,False,top-3 avg score 0.3623 < final_threshold 0.6
software developer organization,Task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5067; levenshtein=0.0690; semantic=0.5110; sequence_match=0.0606,False,0.3622,False,top-3 avg score 0.3622 < final_threshold 0.6
software developer organization,Capability,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4293; levenshtein=0.1724; semantic=0.4835; sequence_match=0.0513,False,0.3617,False,top-3 avg score 0.3617 < final_threshold 0.6
XML,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4641; levenshtein=0.0000; semantic=0.5210; sequence_match=0.1000,False,0.3617,False,top-3 avg score 0.3617 < final_threshold 0.6
CEL ASCII format,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4563; levenshtein=0.1429; semantic=0.3976; sequence_match=0.2308,False,0.3616,False,top-3 avg score 0.3616 < final_threshold 0.6
text editing,Algorithm Usage Output,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4348; levenshtein=0.1500; semantic=0.4562; sequence_match=0.1935,False,0.3615,False,top-3 avg score 0.3615 < final_threshold 0.6
software developer organization,Help Access,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4356; levenshtein=0.1379; semantic=0.4422; sequence_match=0.2051,False,0.361,False,top-3 avg score 0.3610 < final_threshold 0.6
Source code available,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3858; levenshtein=0.1053; semantic=0.5296; sequence_match=0.1667,False,0.3607,False,top-3 avg score 0.3607 < final_threshold 0.6
Development status,Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3810; levenshtein=0.1176; semantic=0.5525; sequence_match=0.1481,False,0.3606,False,top-3 avg score 0.3606 < final_threshold 0.6
text editing,Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4131; levenshtein=0.1818; semantic=0.4780; sequence_match=0.1905,False,0.3605,False,top-3 avg score 0.3605 < final_threshold 0.6
function,Data Format Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4187; levenshtein=0.1429; semantic=0.4800; sequence_match=0.1818,False,0.3602,False,top-3 avg score 0.3602 < final_threshold 0.6
file rendering,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4423; levenshtein=0.0000; semantic=0.5203; sequence_match=0.1176,False,0.3601,False,top-3 avg score 0.3601 < final_threshold 0.6
web service,Collaboration Request,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4500; levenshtein=0.1500; semantic=0.4800; sequence_match=0.1333,False,0.36,False,top-3 avg score 0.3600 < final_threshold 0.6
Purchase cost,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4556; levenshtein=0.0833; semantic=0.4425; sequence_match=0.1818,False,0.36,False,top-3 avg score 0.3600 < final_threshold 0.6
data format specification,GIF Rendering,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4114; levenshtein=0.1739; semantic=0.4398; sequence_match=0.2286,False,0.3599,False,top-3 avg score 0.3599 < final_threshold 0.6
Open source software license,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4750; levenshtein=0.1200; semantic=0.4830; sequence_match=0.1212,False,0.3597,False,top-3 avg score 0.3597 < final_threshold 0.6
software developer role,Data Usage For Task,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4603; levenshtein=0.2381; semantic=0.3801; sequence_match=0.2162,False,0.3595,False,top-3 avg score 0.3595 < final_threshold 0.6
text editing,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4665; levenshtein=0.1429; semantic=0.4514; sequence_match=0.1600,False,0.3593,False,top-3 avg score 0.3593 < final_threshold 0.6
plain text file format,Community Development,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5672; levenshtein=0.2000; semantic=0.3106; sequence_match=0.1538,False,0.3592,False,top-3 avg score 0.3592 < final_threshold 0.6
data format specification,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4391; levenshtein=0.1739; semantic=0.4556; sequence_match=0.1818,False,0.3588,False,top-3 avg score 0.3588 < final_threshold 0.6
software,Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4083; levenshtein=0.0000; semantic=0.5570; sequence_match=0.1111,False,0.3588,False,top-3 avg score 0.3588 < final_threshold 0.6
Source code available,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3999; levenshtein=0.0526; semantic=0.5274; sequence_match=0.1481,False,0.3585,False,top-3 avg score 0.3585 < final_threshold 0.6
file rendering,Help Access,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5008; sequence_match=0.1739,False,0.358,False,top-3 avg score 0.3580 < final_threshold 0.6
Maintained,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4037; levenshtein=0.1000; semantic=0.5642; sequence_match=0.1053,False,0.3577,False,top-3 avg score 0.3577 < final_threshold 0.6
GIF,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4778; levenshtein=0.1000; semantic=0.4413; sequence_match=0.1538,False,0.3577,False,top-3 avg score 0.3577 < final_threshold 0.6
programming language,Software License Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4361; levenshtein=0.1053; semantic=0.5314; sequence_match=0.1053,False,0.3576,False,top-3 avg score 0.3576 < final_threshold 0.6
.csv,Data Usage For Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4653; levenshtein=0.0625; semantic=0.5018; sequence_match=0.1053,False,0.3575,False,top-3 avg score 0.3575 < final_threshold 0.6
function,Help Access,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4083; levenshtein=0.1000; semantic=0.5525; sequence_match=0.1111,False,0.3573,False,top-3 avg score 0.3573 < final_threshold 0.6
GIF,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4722; levenshtein=0.0833; semantic=0.4634; sequence_match=0.1333,False,0.3563,False,top-3 avg score 0.3563 < final_threshold 0.6
Source code available,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4342; levenshtein=0.0526; semantic=0.5472; sequence_match=0.0870,False,0.3561,False,top-3 avg score 0.3561 < final_threshold 0.6
function,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4083; levenshtein=0.1000; semantic=0.5447; sequence_match=0.1111,False,0.3547,False,top-3 avg score 0.3547 < final_threshold 0.6
software developer role,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4659; levenshtein=0.0476; semantic=0.4025; sequence_match=0.1951,False,0.3545,False,top-3 avg score 0.3545 < final_threshold 0.6
web service,Data Format Type,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4476; levenshtein=0.1429; semantic=0.4709; sequence_match=0.0833,False,0.3538,False,top-3 avg score 0.3538 < final_threshold 0.6
Development status,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4510; levenshtein=0.1176; semantic=0.4714; sequence_match=0.1379,False,0.3534,False,top-3 avg score 0.3534 < final_threshold 0.6
GIF,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4641; levenshtein=0.0588; semantic=0.4960; sequence_match=0.1000,False,0.3533,False,top-3 avg score 0.3533 < final_threshold 0.6
software developer organization,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4293; levenshtein=0.1034; semantic=0.4240; sequence_match=0.2051,False,0.3528,False,top-3 avg score 0.3528 < final_threshold 0.6
version number,Data Format Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4478; levenshtein=0.0714; semantic=0.5365; sequence_match=0.0741,False,0.3528,False,top-3 avg score 0.3528 < final_threshold 0.6
Purchase cost,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4111; levenshtein=0.0833; semantic=0.3684; sequence_match=0.2727,False,0.3507,False,top-3 avg score 0.3507 < final_threshold 0.6
plain text file format,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5010; levenshtein=0.0526; semantic=0.4459; sequence_match=0.1053,False,0.3507,False,top-3 avg score 0.3507 < final_threshold 0.6
.csv,Version Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4365; levenshtein=0.0714; semantic=0.4958; sequence_match=0.1176,False,0.35,False,top-3 avg score 0.3500 < final_threshold 0.6
data format specification,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4114; levenshtein=0.2174; semantic=0.4093; sequence_match=0.2286,False,0.3497,False,top-3 avg score 0.3497 < final_threshold 0.6
Purchase cost,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.0000; semantic=0.4318; sequence_match=0.1905,False,0.3494,False,top-3 avg score 0.3494 < final_threshold 0.6
text editing,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4053; levenshtein=0.0909; semantic=0.5372; sequence_match=0.1053,False,0.3493,False,top-3 avg score 0.3493 < final_threshold 0.6
function,Algorithm Usage Output,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4000; levenshtein=0.1000; semantic=0.5044; sequence_match=0.1429,False,0.3491,False,top-3 avg score 0.3491 < final_threshold 0.6
software interface,Capability,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3810; levenshtein=0.1176; semantic=0.5467; sequence_match=0.0741,False,0.3485,False,top-3 avg score 0.3485 < final_threshold 0.6
CEL ASCII format,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4405; levenshtein=0.0714; semantic=0.4932; sequence_match=0.1111,False,0.3483,False,top-3 avg score 0.3483 < final_threshold 0.6
.csv,Algorithm Usage Output,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4611; levenshtein=0.0500; semantic=0.4958; sequence_match=0.0870,False,0.348,False,top-3 avg score 0.3480 < final_threshold 0.6
CEL binary format,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4500; levenshtein=0.1333; semantic=0.3713; sequence_match=0.2222,False,0.3478,False,top-3 avg score 0.3478 < final_threshold 0.6
software developer role,Platform,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4877; levenshtein=0.1429; semantic=0.4127; sequence_match=0.1379,False,0.3478,False,top-3 avg score 0.3478 < final_threshold 0.6
.csv,Help Access,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.2000; semantic=0.5337; sequence_match=0.3077,False,0.3471,False,top-3 avg score 0.3471 < final_threshold 0.6
Free,Data Usage For Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4375; levenshtein=0.1250; semantic=0.4032; sequence_match=0.2000,False,0.3469,False,top-3 avg score 0.3469 < final_threshold 0.6
function,Data Usage For Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4097; levenshtein=0.1250; semantic=0.4631; sequence_match=0.1667,False,0.3465,False,top-3 avg score 0.3465 < final_threshold 0.6
PROcess,Community Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4151; levenshtein=0.1000; semantic=0.4751; sequence_match=0.1481,False,0.3461,False,top-3 avg score 0.3461 < final_threshold 0.6
XML,License Permissiveness,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4206; levenshtein=0.0476; semantic=0.5335; sequence_match=0.0833,False,0.3458,False,top-3 avg score 0.3458 < final_threshold 0.6
XML,Software License Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4620; levenshtein=0.0526; semantic=0.4836; sequence_match=0.0909,False,0.3455,False,top-3 avg score 0.3455 < final_threshold 0.6
Open source software license,Data Usage For Task,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4927; levenshtein=0.2000; semantic=0.3438; sequence_match=0.0976,False,0.3455,False,top-3 avg score 0.3455 < final_threshold 0.6
web service,Data Usage For Task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3847; levenshtein=0.1875; semantic=0.4631; sequence_match=0.1538,False,0.3451,False,top-3 avg score 0.3451 < final_threshold 0.6
function,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4060; levenshtein=0.1176; semantic=0.4690; sequence_match=0.1600,False,0.345,False,top-3 avg score 0.3450 < final_threshold 0.6
Maintained,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4056; levenshtein=0.0833; semantic=0.4471; sequence_match=0.1818,False,0.3448,False,top-3 avg score 0.3448 < final_threshold 0.6
GIF,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4683; levenshtein=0.0714; semantic=0.4485; sequence_match=0.1176,False,0.3448,False,top-3 avg score 0.3448 < final_threshold 0.6
PROcess,Maintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4143; levenshtein=0.0000; semantic=0.5019; sequence_match=0.1176,False,0.3446,False,top-3 avg score 0.3446 < final_threshold 0.6
Free,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4333; levenshtein=0.1000; semantic=0.4327; sequence_match=0.1667,False,0.3442,False,top-3 avg score 0.3442 < final_threshold 0.6
CEL ASCII format,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4524; levenshtein=0.0714; semantic=0.4354; sequence_match=0.1429,False,0.3436,False,top-3 avg score 0.3436 < final_threshold 0.6
XML,Collaboration Request,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4611; levenshtein=0.0500; semantic=0.4806; sequence_match=0.0870,False,0.3429,False,top-3 avg score 0.3429 < final_threshold 0.6
PROcess,Algorithm Usage Output,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4238; levenshtein=0.1000; semantic=0.5044; sequence_match=0.0741,False,0.3427,False,top-3 avg score 0.3427 < final_threshold 0.6
data item,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.1250; semantic=0.4716; sequence_match=0.1333,False,0.3425,False,top-3 avg score 0.3425 < final_threshold 0.6
Purchase cost,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.3877; sequence_match=0.1667,False,0.3422,False,top-3 avg score 0.3422 < final_threshold 0.6
software developer role,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4246; levenshtein=0.0952; semantic=0.3594; sequence_match=0.2424,False,0.3422,False,top-3 avg score 0.3422 < final_threshold 0.6
web service,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3810; levenshtein=0.1176; semantic=0.4963; sequence_match=0.1481,False,0.3418,False,top-3 avg score 0.3418 < final_threshold 0.6
plain text file format,Version,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4177; levenshtein=0.1579; semantic=0.4495; sequence_match=0.1538,False,0.3417,False,top-3 avg score 0.3417 < final_threshold 0.6
CEL binary format,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4389; levenshtein=0.0667; semantic=0.4809; sequence_match=0.1053,False,0.3417,False,top-3 avg score 0.3417 < final_threshold 0.6
text editing,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3013; levenshtein=0.1818; semantic=0.5236; sequence_match=0.2000,False,0.3416,False,top-3 avg score 0.3416 < final_threshold 0.6
GIF,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4683; levenshtein=0.0714; semantic=0.4385; sequence_match=0.1176,False,0.3415,False,top-3 avg score 0.3415 < final_threshold 0.6
Open source software license,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4333; levenshtein=0.1200; semantic=0.4183; sequence_match=0.1714,False,0.341,False,top-3 avg score 0.3410 < final_threshold 0.6
data format specification,Help Access,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4391; levenshtein=0.1304; semantic=0.4524; sequence_match=0.1212,False,0.3407,False,top-3 avg score 0.3407 < final_threshold 0.6
data item,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4187; levenshtein=0.1429; semantic=0.4197; sequence_match=0.1818,False,0.3401,False,top-3 avg score 0.3401 < final_threshold 0.6
data item,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4035; levenshtein=0.2105; semantic=0.3935; sequence_match=0.2222,False,0.3398,False,top-3 avg score 0.3398 < final_threshold 0.6
XML,Algorithm Usage Output,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4222; levenshtein=0.0500; semantic=0.5097; sequence_match=0.0870,False,0.3396,False,top-3 avg score 0.3396 < final_threshold 0.6
software developer role,Algorithm Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3984; levenshtein=0.0952; semantic=0.4468; sequence_match=0.1714,False,0.3389,False,top-3 avg score 0.3389 < final_threshold 0.6
Development status,GIF Rendering,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3562; levenshtein=0.1176; semantic=0.4530; sequence_match=0.2069,False,0.3387,False,top-3 avg score 0.3387 < final_threshold 0.6
CEL binary format,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.3889; levenshtein=0.1333; semantic=0.3869; sequence_match=0.2400,False,0.3386,False,top-3 avg score 0.3386 < final_threshold 0.6
Maintained,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3937; levenshtein=0.0714; semantic=0.4548; sequence_match=0.1667,False,0.3384,False,top-3 avg score 0.3384 < final_threshold 0.6
CEL binary format,Help Access,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3889; levenshtein=0.2000; semantic=0.4241; sequence_match=0.1600,False,0.3377,False,top-3 avg score 0.3377 < final_threshold 0.6
Purchase cost,Community Development,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4222; levenshtein=0.2000; semantic=0.3906; sequence_match=0.1875,False,0.3376,False,top-3 avg score 0.3376 < final_threshold 0.6
Maintained,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3000; levenshtein=0.1000; semantic=0.5112; sequence_match=0.2000,False,0.3371,False,top-3 avg score 0.3371 < final_threshold 0.6
Purchase cost,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4579; levenshtein=0.0000; semantic=0.3967; sequence_match=0.1538,False,0.3361,False,top-3 avg score 0.3361 < final_threshold 0.6
text editing,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3720; levenshtein=0.0588; semantic=0.4929; sequence_match=0.1429,False,0.3359,False,top-3 avg score 0.3359 < final_threshold 0.6
Purchase cost,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4556; levenshtein=0.0000; semantic=0.3693; sequence_match=0.1818,False,0.3356,False,top-3 avg score 0.3356 < final_threshold 0.6
Open source software license,Data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4300; levenshtein=0.0800; semantic=0.4383; sequence_match=0.1379,False,0.3354,False,top-3 avg score 0.3354 < final_threshold 0.6
application programming interface,Task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3548; levenshtein=0.0645; semantic=0.5836; sequence_match=0.0571,False,0.3343,False,top-3 avg score 0.3343 < final_threshold 0.6
Open source software license,Task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4300; levenshtein=0.1200; semantic=0.4520; sequence_match=0.0690,False,0.334,False,top-3 avg score 0.3340 < final_threshold 0.6
